

Start	2017-06-30 02:52:39	End	2017-06-30 02:52:46	Instance	08D6F647	Method	Reference Method	Msmts	1000	Iterations	500
Globals:	debugLevel=1	maxSwarmSize=1000000	reseedCounter=10000000	minimalExcitement=1.0E-4	logDir=./log	xmlDir=./xml	maxFullHistories=100	noOfBatchFileThreads=8	iniFilename=FlameModel.ini	defaultRandMin=1000	defaultRandMax=10000	defaultMeasurements=100	defaultIterations=500	defaultDimension=3	defaultHistories=10	defaultUseObservable=true
	msmt	iter	FlameClass	F_Row1_real	F_Row1_imag	F_Row2_real	F_Row2_imag	F_absQ	F_size	F_sDim	F_pDim	F_glb exc	F_loc exc[ 1]	F_loc exc[ 2]	F_NullPairsRe[ 0]	F_NullPairsIm[ 0]	F_NullPairsRe[ 1]	F_NullPairsIm[ 1]	F_NullPairsRe[ 2]	F_NullPairsIm[ 2]	F_NullPairsRe[ 3]	F_NullPairsIm[ 3]	F_obR1C1_real	F_obR1C1_imag	F_obR1C2_real	F_obR1C2_imag	F_obR2C1_real	F_obR2C1_imag	F_obR2C2_real	F_obR2C2_imag	F_P0I0	F_P0I1	F_P0I2	F_P0I3	F_P1I0	F_P1I1	F_P1I2	F_P1I3	F_P2I0	F_P2I1	F_P2I2	F_P2I3	F_P3I0	F_P3I1	F_P3I2	F_P3I3	F_R1C1_real	F_R1C1_imag	F_R1C2_real	F_R1C2_imag	F_R2C1_real	F_R2C1_imag	F_R2C2_real	F_R2C2_imag	F_peRow1_real	F_peRow1_imag	F_peRow2_real	F_peRow2_imag	F_evR1C1_real	F_evR1C1_imag	F_evR1C2_real	F_evR1C2_imag	F_evR2C1_real	F_evR2C1_imag	F_evR2C2_real	F_evR2C2_imag	F_ewRow1_real	F_ewRow1_imag	F_ewRow2_real	F_ewRow2_imag
	msmt	iter	FlameClass	F_Row1_real	F_Row1_imag	F_Row2_real	F_Row2_imag	F_absQ	F_size	F_sDim	F_pDim	F_glb exc	F_loc exc[ 1]	F_loc exc[ 2]	F_NullPairsRe[ 0]	F_NullPairsIm[ 0]	F_NullPairsRe[ 1]	F_NullPairsIm[ 1]	F_NullPairsRe[ 2]	F_NullPairsIm[ 2]	F_NullPairsRe[ 3]	F_NullPairsIm[ 3]	F_obR1C1_real	F_obR1C1_imag	F_obR1C2_real	F_obR1C2_imag	F_obR2C1_real	F_obR2C1_imag	F_obR2C2_real	F_obR2C2_imag	F_P0I0	F_P0I1	F_P0I2	F_P0I3	F_P1I0	F_P1I1	F_P1I2	F_P1I3	F_P2I0	F_P2I1	F_P2I2	F_P2I3	F_P3I0	F_P3I1	F_P3I2	F_P3I3	F_R1C1_real	F_R1C1_imag	F_R1C2_real	F_R1C2_imag	F_R2C1_real	F_R2C1_imag	F_R2C2_real	F_R2C2_imag	F_peRow1_real	F_peRow1_imag	F_peRow2_real	F_peRow2_imag	F_evR1C1_real	F_evR1C1_imag	F_evR1C2_real	F_evR1C2_imag	F_evR2C1_real	F_evR2C1_imag	F_evR2C2_real	F_evR2C2_imag	F_ewRow1_real	F_ewRow1_imag	F_ewRow2_real	F_ewRow2_imag
	2	-1	de.bzus.flame.process.PauliFlame	54,00000	-24,00000	24,00000	-40,00000	 5668	3400	2	4	0,94609	0,94609	0,94609	198	202	220	210	199	206	207	176	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	224	202	198	228	233	210	220	216	234	207	199	206	221	219	207	176	40,00000	17,00000	14,00000	-41,00000	12,00000	29,00000	12,00000	-69,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	2	0	de.bzus.flame.process.PauliFlame	47,00000	-64,00000	-1,00000	-36,00000	 7602	2303	2	4	0,56602	0,56602	0,56602	124	135	128	111	110	115	169	153	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	162	135	124	161	128	111	143	135	160	129	110	115	179	189	169	153	48,00000	10,00000	-1,00000	-74,00000	-29,00000	26,00000	28,00000	-62,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	2	1	de.bzus.flame.process.PauliFlame	49,00000	-55,00000	13,00000	-53,00000	 8404	2222	2	4	0,91515	0,91515	0,91515	131	150	147	119	130	131	102	102	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	174	150	131	161	147	119	159	162	162	131	130	135	124	133	102	102	65,00000	20,00000	-16,00000	-75,00000	-8,00000	-11,00000	21,00000	-42,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	2	2	de.bzus.flame.process.PauliFlame	7,00000	14,00000	-23,00000	-24,00000	 1350	1913	2	4	0,59418	0,59418	0,59418	103	114	98	111	124	128	106	99	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	132	117	103	114	98	111	135	119	142	134	124	128	115	136	106	99	38,00000	40,00000	-31,00000	-26,00000	-43,00000	10,00000	20,00000	-34,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	2	3	de.bzus.flame.process.PauliFlame	0,00000	1,00000	-20,00000	-45,00000	 2426	2277	2	4	0,00165	0,00165	0,00165	93	96	137	149	146	149	150	140	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	121	96	93	113	137	149	175	154	164	154	146	149	155	181	150	140	33,00000	24,00000	-33,00000	-23,00000	-43,00000	13,00000	23,00000	-58,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	2	4	de.bzus.flame.process.PauliFlame	-1,00000	5,00000	-21,00000	-49,00000	 2868	2898	2	4	0,03593	0,03593	0,03593	138	141	179	192	169	172	195	184	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	166	141	138	158	179	192	218	197	185	177	169	172	200	227	195	184	33,00000	26,00000	-34,00000	-21,00000	-44,00000	11,00000	23,00000	-60,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	2	5	de.bzus.flame.process.PauliFlame	1,00000	-1,00000	-15,00000	-45,00000	 2252	3478	2	4	0,00355	0,00355	0,00355	176	183	213	233	187	189	243	232	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	210	183	176	202	213	233	254	237	206	193	187	189	247	273	243	232	38,00000	22,00000	-37,00000	-23,00000	-45,00000	15,00000	30,00000	-60,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	2	6	de.bzus.flame.process.PauliFlame	0,00000	0,00000	-16,00000	-42,00000	 2020	4138	2	4	0,00000	0,00000	0,00000	229	236	257	278	209	212	288	277	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	-1,00000	0,00000	263	236	229	255	257	278	299	280	229	216	209	212	292	318	288	277	38,00000	22,00000	-38,00000	-22,00000	-46,00000	18,00000	30,00000	-60,00000	1,00000	0,00000	1,00000	0,00000	1,00000	0,00000	0,00000	0,00000	0,00000	0,00000	1,00000	0,00000	-1,00000	0,00000	1,00000	0,00000
	msmt	iter	FlameClass	F_Row1_real	F_Row1_imag	F_Row2_real	F_Row2_imag	F_absQ	F_size	F_sDim	F_pDim	F_glb exc	F_loc exc[ 1]	F_loc exc[ 2]	F_NullPairsRe[ 0]	F_NullPairsIm[ 0]	F_NullPairsRe[ 1]	F_NullPairsIm[ 1]	F_NullPairsRe[ 2]	F_NullPairsIm[ 2]	F_NullPairsRe[ 3]	F_NullPairsIm[ 3]	F_obR1C1_real	F_obR1C1_imag	F_obR1C2_real	F_obR1C2_imag	F_obR2C1_real	F_obR2C1_imag	F_obR2C2_real	F_obR2C2_imag	F_P0I0	F_P0I1	F_P0I2	F_P0I3	F_P1I0	F_P1I1	F_P1I2	F_P1I3	F_P2I0	F_P2I1	F_P2I2	F_P2I3	F_P3I0	F_P3I1	F_P3I2	F_P3I3	F_R1C1_real	F_R1C1_imag	F_R1C2_real	F_R1C2_imag	F_R2C1_real	F_R2C1_imag	F_R2C2_real	F_R2C2_imag	F_peRow1_real	F_peRow1_imag	F_peRow2_real	F_peRow2_imag	F_evR1C1_real	F_evR1C1_imag	F_evR1C2_real	F_evR1C2_imag	F_evR2C1_real	F_evR2C1_imag	F_evR2C2_real	F_evR2C2_imag	F_ewRow1_real	F_ewRow1_imag	F_ewRow2_real	F_ewRow2_imag
